,Minimum,Maximum,Range,Median,Mean,Variance,Standard deviation
Open,113.2887191772461,144.8087921142578,31.52007293701172,130.6300048828125,128.8910176250564,71.15557726545099,8.43537653370915
High,114.2829818725586,146.11854553222656,31.83556365966797,131.88336181640625,129.99906957861913,70.06983237488176,8.370772507653147
Low,112.1988525390625,143.75717163085938,31.558319091796875,129.7418670654297,127.91215633681097,71.22950437983909,8.439757364986216
Close,113.36520385742188,144.6271514892578,31.261947631835938,130.9942626953125,128.9404110851516,70.96634580114302,8.424152527177023
Adj Close,101.58677673339844,132.79995727539062,31.213180541992188,121.66668701171875,118.5870343664675,65.97296392590964,8.122374278861423
Volume,1997965.0,39814421.0,37816456.0,4771957.0,5574175.187250996,13583574128399.105,3685590.065159052
