,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,IBM,IBM,IBM,IBM,IBM,IBM
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,
2021-01-04 00:00:00-05:00,222.52999877929688,223.0,214.80999755859375,217.69000244140625,213.87637329101562,37130100,120.31549072265625,120.38240814208984,117.62906646728516,118.48948669433594,106.17867279052734,5417443
2021-01-05 00:00:00-05:00,217.25999450683594,218.52000427246094,215.6999969482422,217.89999389648438,214.08270263671875,23823000,119.5124282836914,121.1089859008789,119.13002014160156,120.59273529052734,108.06339263916016,6395872
2021-01-06 00:00:00-05:00,212.1699981689453,216.49000549316406,211.94000244140625,212.25,208.5316619873047,35930700,121.3193130493164,126.08030700683594,121.14722442626953,123.60420989990234,110.7619857788086,8322708
2021-01-07 00:00:00-05:00,214.0399932861328,219.33999633789062,213.7100067138672,218.2899932861328,214.46585083007812,27694500,124.32122039794922,124.7227554321289,122.61949920654297,123.31739807128906,110.50497436523438,4714740
2021-01-08 00:00:00-05:00,218.67999267578125,220.5800018310547,217.02999877929688,219.6199951171875,215.77255249023438,22956200,122.9158706665039,123.63288879394531,121.39579010009766,122.87763214111328,110.11088562011719,4891305
2021-01-11 00:00:00-05:00,218.47000122070312,218.91000366210938,216.72999572753906,217.49000549316406,213.67987060546875,23031300,122.32313537597656,123.97705841064453,122.04589080810547,122.92543029785156,110.15372467041016,5859587
2021-01-12 00:00:00-05:00,216.5,217.10000610351562,213.32000732421875,214.92999267578125,211.1647186279297,23249300,123.41300201416016,124.13957977294922,122.3135757446289,123.52772521972656,110.69344329833984,3921663
2021-01-13 00:00:00-05:00,214.02000427246094,216.75999450683594,213.92999267578125,216.33999633789062,212.54998779296875,20087100,123.4703598022461,124.04397583007812,120.8986587524414,121.33843231201172,108.73162078857422,8030874
2021-01-14 00:00:00-05:00,215.91000366210938,217.4600067138672,212.74000549316406,213.02000427246094,209.28819274902344,29480800,122.39006042480469,124.43594360351562,121.94072723388672,123.29827880859375,110.48784637451172,7848347
2021-01-15 00:00:00-05:00,213.52000427246094,214.50999450683594,212.02999877929688,212.64999389648438,208.92466735839844,31746500,122.63862609863281,123.55640411376953,122.05545043945312,122.74378967285156,109.990966796875,5131153
2021-01-19 00:00:00-05:00,213.75,216.97999572753906,212.6300048828125,216.44000244140625,212.6482391357422,30480900,123.59464263916016,123.8910140991211,122.45697784423828,123.34607696533203,110.53067016601562,5646308
2021-01-20 00:00:00-05:00,217.6999969482422,225.7899932861328,217.2899932861328,224.33999633789062,220.40988159179688,37777300,123.99617767333984,125.2963638305664,122.90631103515625,124.35946655273438,111.43876647949219,5856240
2021-01-21 00:00:00-05:00,224.6999969482422,226.3000030517578,222.4199981689453,224.97000122070312,221.02883911132812,30709400,124.397705078125,126.42447662353516,124.3307876586914,125.86042022705078,112.78376770019531,13116003
2021-01-22 00:00:00-05:00,227.0800018310547,230.07000732421875,225.8000030517578,225.9499969482422,221.9916534423828,30172700,115.3919677734375,115.3919677734375,112.1988525390625,113.39388275146484,101.61250305175781,39814421
2021-01-25 00:00:00-05:00,229.1199951171875,229.77999877929688,224.22000122070312,229.52999877929688,225.50894165039062,33152100,113.53728485107422,114.2829818725586,112.28489685058594,113.36520385742188,101.58678436279297,14315974
2021-01-26 00:00:00-05:00,231.86000061035156,234.17999267578125,230.0800018310547,232.3300018310547,228.25991821289062,49169600,113.93881225585938,117.1988525390625,113.21223449707031,117.1032485961914,104.93646240234375,11186656
2021-01-27 00:00:00-05:00,238.0,240.44000244140625,230.13999938964844,232.89999389648438,228.8199005126953,69870600,116.7112808227539,119.3021011352539,116.2715072631836,117.0841293334961,104.9193344116211,12705239
2021-01-28 00:00:00-05:00,235.61000061035156,242.63999938964844,235.08999633789062,238.92999267578125,234.74427795410156,49111200,117.39962005615234,117.78202819824219,114.7896728515625,114.79923248291016,102.87184143066406,8455969
2021-01-29 00:00:00-05:00,235.99000549316406,238.02000427246094,231.35000610351562,231.9600067138672,227.89639282226562,42503100,114.93307495117188,115.96558380126953,113.67112731933594,113.87189483642578,102.04084014892578,12369473
2021-02-01 00:00:00-05:00,235.05999755859375,242.5,232.42999267578125,239.64999389648438,235.45164489746094,33314200,114.62715148925781,115.63097381591797,113.50860595703125,115.23900604248047,103.26590728759766,6538023
2021-02-02 00:00:00-05:00,241.3000030517578,242.30999755859375,238.69000244140625,239.50999450683594,235.31411743164062,25916300,114.11090087890625,115.67877960205078,114.03441619873047,114.1873779296875,102.32353973388672,6633627
2021-02-03 00:00:00-05:00,239.57000732421875,245.08999633789062,239.25999450683594,243.0,238.74298095703125,27158100,113.80496978759766,114.53154754638672,112.92543029785156,113.88145446777344,102.04939270019531,7024308
2021-02-04 00:00:00-05:00,242.66000366210938,243.24000549316406,240.3699951171875,242.00999450683594,237.7703094482422,25296100,114.63671112060547,115.77437591552734,113.64244842529297,115.6978988647461,103.6771240234375,4771957
2021-02-05 00:00:00-05:00,242.22999572753906,243.27999877929688,240.4199981689453,242.1999969482422,237.95697021484375,18054800,115.67877960205078,116.45315551757812,115.21988677978516,116.43403625488281,104.3367691040039,4775722
2021-02-08 00:00:00-05:00,243.14999389648438,243.67999267578125,240.80999755859375,242.47000122070312,238.22225952148438,22211900,117.22753143310547,118.52772521972656,117.01720428466797,118.17399597167969,105.89595794677734,6158848
